File_Country_Prefix,File_Name,extension,Source_Copy_Level,Source_Location,Target_Location,Source,Frequency,FTP_HOST,FTP_PORT,FTP_USERNAME,FTP_PASSWORD,TDEC_BKT,TDEC_BKT_ASSUME_ROLE,INTERNAL_DATA_LAKE_BKT,Folder_Level_Trim
US,US_TALTZ_HCP_ATTRIBUTES_,.txt000.gz,File,s3://aws-a0188-use1-00-p-s3b-lily-vdt-int-lily-tdec01/in/Dynamic_Targeting/,00_RAW_FILES/MASTER/TALTZ_HCP_ATTRIBUTE/,TDEC,Friday,NA,NA,NA,NA,aws-a0188-use1-00-p-s3b-lily-vdt-int-lily-tdec01,arn:aws:iam::863029033211:role/aws-a0188-use1-00-p-rol-shrd-shr-s3b01,aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03,21
US,US_TALTZ_PSA_SALES_,.txt000.gz,File,s3://aws-a0188-use1-00-p-s3b-lily-vdt-int-lily-tdec01/in/Dynamic_Targeting/,00_RAW_FILES/MASTER/TALTZ_PSA_SALES/,TDEC,Friday,NA,NA,NA,NA,aws-a0188-use1-00-p-s3b-lily-vdt-int-lily-tdec01,arn:aws:iam::863029033211:role/aws-a0188-use1-00-p-rol-shrd-shr-s3b01,aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03,21
US,US_TALTZ_PSA_TRIGGER_METRICS_,.txt000.gz,File,s3://aws-a0188-use1-00-p-s3b-lily-vdt-int-lily-tdec01/in/Dynamic_Targeting/,00_RAW_FILES/MASTER/TALTZ_PSA_TRIGGER/,TDEC,Friday,NA,NA,NA,NA,aws-a0188-use1-00-p-s3b-lily-vdt-int-lily-tdec01,arn:aws:iam::863029033211:role/aws-a0188-use1-00-p-rol-shrd-shr-s3b01,aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03,21
US,US_TALTZ_PSO_SALES_,.txt000.gz,File,s3://aws-a0188-use1-00-p-s3b-lily-vdt-int-lily-tdec01/in/Dynamic_Targeting/,00_RAW_FILES/MASTER/TALTZ_PSO_SALES/,TDEC,Friday,NA,NA,NA,NA,aws-a0188-use1-00-p-s3b-lily-vdt-int-lily-tdec01,arn:aws:iam::863029033211:role/aws-a0188-use1-00-p-rol-shrd-shr-s3b01,aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03,21
US,US_TALTZ_PSO_TRIGGER_METRICS_,.txt000.gz,File,s3://aws-a0188-use1-00-p-s3b-lily-vdt-int-lily-tdec01/in/Dynamic_Targeting/,00_RAW_FILES/MASTER/TALTZ_PSO_TRIGGER/,TDEC,Friday,NA,NA,NA,NA,aws-a0188-use1-00-p-s3b-lily-vdt-int-lily-tdec01,arn:aws:iam::863029033211:role/aws-a0188-use1-00-p-rol-shrd-shr-s3b01,aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03,21
US,US_Salesforce_Targeting_Universe_,.txt.gz,File,s3://aws-a0188-use1-00-p-s3b-lily-vdt-int-lily-tdec01/in/Dynamic_Targeting/,00_RAW_FILES/MASTER/SALESFORCE_TARGETING_UNIVERSE/,TDEC,Friday,NA,NA,NA,NA,aws-a0188-use1-00-p-s3b-lily-vdt-int-lily-tdec01,arn:aws:iam::863029033211:role/aws-a0188-use1-00-p-rol-shrd-shr-s3b01,aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03,21
UV,UV_EIM_Master_Hierarchy_Terr_2_,.txt,File,s3://aws-a0188-use1-00-p-s3b-lily-com-int-shr-tdec01/in/alignment/,00_RAW_FILES/MASTER/EIM_MASTER_HIERARCHY/,TDEC,Friday,NA,NA,NA,NA,aws-a0188-use1-00-p-s3b-lily-com-int-shr-tdec01,arn:aws:iam::863029033211:role/aws-a0188-use1-00-p-rol-shrd-shr-s3b01,aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03,13
UV,UV_HCP_TERR_Alignment_2_,.txt,File,s3://aws-a0188-use1-00-p-s3b-lily-com-int-shr-tdec01/in/alignment/,00_RAW_FILES/MASTER/HCP_TERR/,TDEC,Friday,NA,NA,NA,NA,aws-a0188-use1-00-p-s3b-lily-com-int-shr-tdec01,arn:aws:iam::863029033211:role/aws-a0188-use1-00-p-rol-shrd-shr-s3b01,aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03,13
UV,UV_Team_Responsibility_Code_,.txt,File,s3://aws-a0188-use1-00-p-s3b-lily-com-int-shr-tdec01/in/,00_RAW_FILES/MASTER/TEAM_RESP_CODE/,TDEC,Friday,NA,NA,NA,NA,aws-a0188-use1-00-p-s3b-lily-com-int-shr-tdec01,arn:aws:iam::863029033211:role/aws-a0188-use1-00-p-rol-shrd-shr-s3b01,aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03,3
UV,UV_Activity_Attendee_Report_,.csv,File,s3://aws-a0188-use1-00-p-s3b-lily-com-int-shr-tdec01/in/,00_RAW_FILES/ACTIVITY/P2P_SPEAKER_PROGRAMS/,TDEC,Friday,NA,NA,NA,NA,aws-a0188-use1-00-p-s3b-lily-com-int-shr-tdec01,arn:aws:iam::863029033211:role/aws-a0188-use1-00-p-rol-shrd-shr-s3b01,aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03,3
UV,UV_EDB_CONTENT_XREF_,.txt,File,s3://aws-a0188-use1-00-p-s3b-lily-com-int-shr-tdec01/in/,00_RAW_FILES/MASTER/EDB_XREF/,TDEC,Friday,NA,NA,NA,NA,aws-a0188-use1-00-p-s3b-lily-com-int-shr-tdec01,arn:aws:iam::863029033211:role/aws-a0188-use1-00-p-rol-shrd-shr-s3b01,aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03,3
UV,UV_HCP_Universe_,.txt,File,s3://aws-a0188-use1-00-p-s3b-lily-com-int-shr-tdec01/in/Lilly_HCP_SE_UNIVERSE/,00_RAW_FILES/MASTER/UNIVERSAL_CUSTOMER_LIST/,TDEC,Friday,NA,NA,NA,NA,aws-a0188-use1-00-p-s3b-lily-com-int-shr-tdec01,arn:aws:iam::863029033211:role/aws-a0188-use1-00-p-rol-shrd-shr-s3b01,aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03,25
UV,UV_Lilly_Program_Opts_,.txt,File,s3://aws-a0188-use1-00-p-s3b-lily-com-int-shr-tdec01/in/,00_RAW_FILES/EXCLUSION/HCP_GCCP_CONSENTS/,TDEC,Friday,NA,NA,NA,NA,aws-a0188-use1-00-p-s3b-lily-com-int-shr-tdec01,arn:aws:iam::863029033211:role/aws-a0188-use1-00-p-rol-shrd-shr-s3b01,aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03,3
UV,UV_SOA_Brand_Emails_,.txt,File,s3://aws-a0188-use1-00-p-s3b-lily-com-int-shr-tdec01/in/SOA_Brand_Email/,00_RAW_FILES/ACTIVITY/BRAND_SENT_EMAILS/,TDEC,Friday,NA,NA,NA,NA,aws-a0188-use1-00-p-s3b-lily-com-int-shr-tdec01,arn:aws:iam::863029033211:role/aws-a0188-use1-00-p-rol-shrd-shr-s3b01,aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03,19
US,US_IMM_HCP_LEVEL_INPUTS_PO_,.txt,File,s3://aws-a0188-use1-00-p-s3b-lily-vdt-int-lily-tdec01/in/Dynamic_Targeting/,00_RAW_FILES/PO_HCP_LEVEL_INPUTS/IMM_HCP_LEVEL_INPUTS_PO/,TDEC,Friday,NA,NA,NA,NA,aws-a0188-use1-00-p-s3b-lily-vdt-int-lily-tdec01,arn:aws:iam::863029033211:role/aws-a0188-use1-00-p-rol-shrd-shr-s3b01,aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03,21
US,US_HCP_Sales_Metrics_,.txt.gz,File,s3://aws-a0188-use1-00-p-s3b-lily-vdt-int-lily-tdec01/in/Dynamic_Targeting/,00_RAW_FILES/MASTER/HCP_SALES_METRICS/,TDEC,Friday,NA,NA,NA,NA,aws-a0188-use1-00-p-s3b-lily-vdt-int-lily-tdec01,arn:aws:iam::863029033211:role/aws-a0188-use1-00-p-rol-shrd-shr-s3b01,aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03,21
US,US_HCP_ACTIVITY_METRICS_,.txt,File,s3://aws-a0188-use1-00-p-s3b-lily-vdt-int-lily-tdec01/in/Dynamic_Targeting/,00_RAW_FILES/MASTER/HCP_ACTIVITY_METRICS/,TDEC,Friday,NA,NA,NA,NA,aws-a0188-use1-00-p-s3b-lily-vdt-int-lily-tdec01,arn:aws:iam::863029033211:role/aws-a0188-use1-00-p-rol-shrd-shr-s3b01,aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03,13
US,US_IMM_PI_METRICS_,.txt000.gz,File,s3://aws-a0188-use1-00-p-s3b-lily-vdt-int-lily-tdec01/in/Dynamic_Targeting/,00_RAW_FILES/MASTER/HCP_MARKET_METRICS/,TDEC,Friday,NA,NA,NA,NA,aws-a0188-use1-00-p-s3b-lily-vdt-int-lily-tdec01,arn:aws:iam::863029033211:role/aws-a0188-use1-00-p-rol-shrd-shr-s3b01,aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03,21
US,US_CAP_MetadataExport_,.txt,File,s3://aws-a0188-use1-00-p-s3b-lily-com-int-shr-tdec01/out/CAP_EXPORT_TO_LMS/,03_METADATA_FILES/CAP_EXTRACT/,TDEC,Friday,NA,NA,NA,NA,aws-a0188-use1-00-p-s3b-lily-com-int-shr-tdec01,arn:aws:iam::863029033211:role/aws-a0188-use1-00-p-rol-shrd-shr-s3b01,aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03,22
